drug,disease
tretinoin,"Acne, Acute Promyelocytic Leukemia, Photoaging of the Skin (Dermatoheliosis), Lichen Sclerosus, Melasma, Necrobiosis Lipoidica Diabeticorum"
triamcinolone,"Frozen Shoulder, Adrenocortical Insufficiency, Atopic Dermatitis, Allergic Reactions, Alopecia, Aphthous Ulcer, Asthma, Eczema, Berylliosis, Bursitis, Leukemia, Cutaneous Candidiasis, Carpal Tunnel Syndrome, Chorioditis, Chorioretinitis, Nephrotic Syndrome, Conjunctivitis, Synovitis, Dermal Necrosis, Prophylaxis, Dermatitis, Dermatological Disorders, Systemic Lupus Erythematosus, Erythroblastopenia, Psoriasis, Gouty Arthritis, Hemolytic Anemia, Idiopathic Thrombocytopenic Purpura, Iridocyclitis, Iritis, Keloids, Keratitis, Plantar Fibromatosis, Lichen Planus, Lichen Sclerosus, Lichen Simplex Chronicus, Loeffler's Syndrome (Pulmonary Eosinophilia), Meningitis, Neuritis, Pityriasis rubra pilaris, Psoriatic Arthritis, Sarcoidosis, Stomatitis, Temporal Arteritis, Thrombocytopenia Idiopathic, Uveitis, Vitrectomy"
triamterene,"Edema, Edema, Ascites"
triclabendazole,Fascioliasis
trientine,Wilson's Disease
trifluridine,"Herpetic Keratitis, Gastric Cancer"
trihexyphenidyl,"Cerebral Spasticity, Extrapyramidal Reaction, Parkinson's Disease"
trimethoprim,"Acne, Urinary Tract Infection, Urinary Tract Infection, Sinusitis, Conjunctivitis, Bacterial, Bacterial Infection, Bacterial Skin Infection, Bladder Infection, Blepharoconjunctivitis, Bronchitis, Pneumonia, Prostatitis, Prevention of Bladder infection (Cystitis Prophylaxis), Prevention of Bladder infection (Cystitis Prophylaxis), Diverticulitis, Traveler's Diarrhea, Otitis Media, Epiglottitis, Granuloma Inguinale, Infection Prophylaxis, Kidney Infections (Pyelonephritis), Melioidosis, Meningitis, Nocardiosis, Pneumocystis Pneumonia, Pneumocystis Pneumonia, Pneumocystis Pneumonia Prophylaxis, Upper Respiratory Tract Infection, Shigellosis, Toxoplasmosis, Toxoplasmosis, Prophylaxis"
triprolidine,"Allergic Urticaria, Allergies, Cold Symptoms, Eye Redness/Itching, Rhinorrhea"
triptorelin,"Prostate Cancer, Precocious Puberty"
trolamine salicylate,"Tendonitis, Bursitis, Raynaud's Syndrome"
tropicamide,"Organophosphate Poisoning, Pupillary Dilation, Refraction, Assessment"
trospium,"Interstitial Cystitis, Urinary Incontinence, Urinary Frequency"
trypan blue,Ophthalmic Surgical Staining
trypsin,Dermatologic Lesion
tuberculin purified protein derivative,Diagnosis and Investigation
"typhoid vaccine, inactivated",Typhoid Prophylaxis
"typhoid vaccine, live",Typhoid Prophylaxis
ulipristal,"Emergency Contraception (Postcoital Contraception), Uterine Fibroids"
umeclidinium,"COPD, COPD, COPD"
undecylenic acid,Onychomycosis
urea,"Dermatological Disorders, Dry Skin (Xerosis), Foot Care, Hyponatremia, Pityriasis rubra pilaris"
uridine,"Capecitabine Overdose, Fluorouracil Overdose, Hereditary Orotic Aciduria"
urofollitropin,"Female Infertility, Follicle Stimulation"
urokinase,"Deep Vein Thrombosis, Thrombotic/Thromboembolic Disorder, Pulmonary Embolism"
ursodiol,"Primary Biliary Cholangitis, Nonalcoholic Fatty Liver Disease, Gallbladder Disease"
ustekinumab,"Crohn's Disease, Psoriasis, Psoriatic Arthritis"
valacyclovir,"Varicella-Zoster, CMV Prophylaxis, Cold Sores (Herpes Simplex Labialis), Ramsay Hunt Syndrome, Herpes Simplex, Herpes Simplex, Mucocutaneous/Immunocompetent Host, Herpes Simplex, Mucocutaneous/Immunocompromised Host, Herpes Simplex, Suppression, Herpes Zoster"
valbenazine,Tardive Dyskinesia
valganciclovir,"CMV Prophylaxis, CMV Retinitis"
valproic acid,"Seizures (Convulsions), Cluster-Tic Syndrome, Epilepsy, Hyperekplexia, Mania, Seizure Prevention (Seizure Prophylaxis)"
valrubicin,Urinary Tract Tumors
valsartan,"High Blood Pressure (Hypertension), Left Ventricular Dysfunction"
vancomycin,"Pseudomembranous Colitis, Bacteremia, Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis), Bacterial Infection, Bone infection (Osteomyelitis), Burns, External, Clostridioides difficile Infection, Methicillin-Resistant Staphylococcus Aureus Infection, Endocarditis, Enterocolitis, Febrile Neutropenia, Meningitis, Nosocomial Pneumonia, Peritonitis, Prevention of Perinatal Group B Streptococcal Disease, Sepsis, Shunt Infection, Surgical Prophylaxis"
vandetanib,Thyroid Cancer
vardenafil,Erectile Dysfunction
varenicline,Smoking Cessation
varicella virus vaccine,"Measles Prophylaxis, Mumps Prophylaxis, Rubella Prophylaxis, Vaccination and Prophylaxis, Varicella-Zoster, Prophylaxis, Varicella-Zoster, Prophylaxis"
varicella zoster immune globulin,Varicella-Zoster
vasopressin,"Abdominal Distension Prior to Abdominal X-ray, Abdominal Radiological Procedure, Asystole, Diabetes Insipidus, Esophageal Varices with Bleeding, Gastrointestinal Hemorrhage, Postoperative Gas Pains, Ventricular Tachycardia, Ventricular Fibrillation"
vecuronium,Anesthesia
vedolizumab,"Crohn's Disease, Crohn's Disease, Maintenance"
velaglucerase alfa,Gaucher Disease
velpatasvir,"Hepatitis C, Hepatitis C"
vemurafenib,"Erdheim-Chester Disease, Melanoma, Metastatic"
venetoclax,"Acute Myeloid Leukemia, Chronic Lymphocytic Leukemia"
venlafaxine,"Anxiety and Stress, Anxiety, Generalized Anxiety Disorder, Autism, Bipolar Disorder, Bulimia, Post Traumatic Stress Disorder, Cataplexy, Major Depressive Disorder, Depression, Postpartum Depression, Dissociative Identity Disorder, Fibromyalgia, Hot Flashes, Irritable Bowel Syndrome, Obsessive Compulsive Disorder, Panic Disorder, Social Anxiety Disorder, Premenstrual Dysphoric Disorder, Somatoform Pain Disorder, Vulvodynia"
verapamil,"Arrhythmia, Atrial Tachycardia, Cluster Headaches, Idiopathic Hypertrophic Subaortic Stenosis, Migraine Prevention (Migraine Prophylaxis), Nocturnal Leg Cramps, Supraventricular Tachycardia"
verteporfin,Macular Degeneration
vestronidase alfa,Mucopolysaccharidosis Type VII
vilanterol,"Asthma, COPD, COPD, COPD"
vinblastine,"Cancer, Hodgkin's Lymphoma, Kaposi's Sarcoma, Testicular Cancer, Choriocarcinoma, Histiocytosis, Mycosis Fungoides"
vincristine,"Acute Lymphocytic Leukemia, Acute Myeloid Leukemia, Anaplastic Oligodendroglioma, Cancer, Hodgkin's Lymphoma, Wilms' Tumor (Nephroblastoma), Non-Hodgkin's Lymphoma, Diffuse Large B-Cell Lymphoma, Evan's Syndrome, Mantle Cell Lymphoma, Neuroblastoma, Rhabdomyosarcoma"
vincristine liposome,Acute Lymphoblastic Leukemia
vismodegib,Basal Cell Carcinoma
vitamin a,Vitamin A Deficiency
vitamin a & d,"Minor Burns, Diaper Rash, Minor Skin Conditions, Minor Skin Irritation, Scrapes, Sunburn"
vitamin d,"Osteoporosis, Dietary Supplementation"
vitamin e,"Alzheimer's Disease, Anemia, Sickle Cell, Cystic Fibrosis, Dietary Supplementation, Nocturnal Leg Cramps, Retinopathy Prophylaxis, Tardive Dyskinesia, Vitamin E Deficiency"
"vitamins a, d, and e",Diaper Rash
von willebrand factor,"Hemophilia A, von Willebrand Disease, von Willebrand Disease"
vorapaxar,"Peripheral Arterial Disease, Prevention of Atherothrombotic Events, Thromboembolic Disorder"
voretigene neparvovec,Retinal Disorders
voriconazole,"Aspergillosis, Invasive, Blastomycosis, Esophageal Candidiasis, Candidemia, Coccidioidomycosis, Meningitis, Cutaneous Fungal Infection, Eumycetoma, Fungal Infection, Internal and Disseminated, Fungal Meningitis, Fungal Pneumonia, Fusariosis, Ocular Fungal Infection, Pseudoallescheriosis, Systemic Fungal Infection"
vorinostat,Cutaneous T-cell Lymphoma
voxilaprevir,Hepatitis C
warfarin,"Antiphospholipid Syndrome, Prosthetic Heart Valves - Thrombosis Prophylaxis, Heart Failure (Congestive Heart Failure), Chronic Central Venous Catheterization, Deep Vein Thrombosis Prophylaxis after Hip Replacement Surgery, Deep Vein Thrombosis Prophylaxis after Knee Replacement Surgery, Deep Vein Thrombosis, First Event, Deep Vein Thrombosis, Recurrent Event, Heart Attack (Myocardial Infarction), Prevention of Thromboembolism in Atrial Fibrillation, Prosthetic Heart Valves, Mechanical Valves - Thrombosis Prophylaxis, Prosthetic Heart Valves, Tissue Valves - Thrombosis Prophylaxis, Protein S Deficiency, Pulmonary Embolism, First Event, Pulmonary Embolism, Recurrent Event, Thromboembolic Stroke Prophylaxis"
xylometazoline,Nasal Congestion
yellow fever vaccine,Yellow Fever Prophylaxis
zanamivir,"Influenza, Influenza Prophylaxis, Swine Flu"
zanubrutinib,Mantle Cell Lymphoma
zidovudine,"Nonoccupational Exposure, Nonoccupational Exposure, Occupational Exposure, Occupational Exposure, Reduction of Perinatal Transmission of HIV"
zinc acetate,"Minor Cuts, Insect Bites, Minor Skin Irritation, Poison Ivy, Poison Oak, Poison Sumac, Wilson's Disease, Zinc Deficiency"
zinc glycinate,Osteopenia
zinc oxide,"Anal Itching, Diaper Rash, Diaper Rash, Diaper Rash, Dermatologic Lesion, Prevention of Sunburn"
zinc sulfate,"Eye Redness/Itching, Vitamin/Mineral Supplementation and Deficiency"
ziprasidone,"Autism, Body Dysmorphic Disorder, Schizophrenia, Paranoid Disorder, Obsessive Compulsive Disorder, Schizoaffective Disorder, Tourette's Syndrome"
zoledronic acid,"Osteolytic Bone Metastases of Solid Tumors, Osteoporosis, Hypercalcemia of Malignancy, Osteolytic Bone Lesions of Multiple Myeloma, Paget's Disease, Prevention of Osteoporosis"
zolmitriptan,"Migraine, Cluster Headaches, Cyclic Vomiting Syndrome"
zolpidem,Insomnia
zonisamide,"Seizures (Convulsions), Benign Essential Tremor, Migraine Prevention (Migraine Prophylaxis), Parkinsonian Tremor"
zoster vaccine live,"Herpes Zoster, Prophylaxis"
"zoster vaccine, inactivated","Herpes Zoster, Prophylaxis"
